role,name,team
student,TeddYE,CS2103-F09-1
student,DALIN-Prog,CS2103-F09-1
student,brandonrhan,CS2103-F09-1
student,snoidetx,CS2103-F09-1
student,FYimu,CS2103-F09-1
student,AryanSarswat,CS2103-F09-2
student,tanyjnaaman,CS2103-F09-2
student,limweiliang,CS2103-F09-2
student,dionegoh,CS2103-F09-2
student,yunbinmo,CS2103-F09-3
student,zzkzzzz,CS2103-F09-3
student,jessicajacelyn,CS2103-F09-3
student,seksek13,CS2103-F09-3
student,Geralddtan,CS2103-F09-4
student,declanleeler,CS2103-F09-4
student,onefangg,CS2103-F09-4
student,punnyhuimin,CS2103-F09-4
student,darshan152,CS2103-F09-4
student,geetengtan,CS2103-F10-1
student,bryans17,CS2103-F10-1
student,channne,CS2103-F10-1
student,jaegarpoon,CS2103-F10-2
student,hieunm1821,CS2103-F10-2
student,zxgoh,CS2103-F10-2
student,xzzz3,CS2103-F10-2
student,dannytayjy,CS2103-F11-1
student,alfredkohhh,CS2103-F11-1
student,ChanWeiJie,CS2103-F11-1
student,Denniszedead,CS2103-F11-1
student,aaron-ljx,CS2103-F11-1
student,charmainehly,CS2103-F11-2
student,lzan98,CS2103-F11-2
student,tiewweijian,CS2103-F11-2
student,LeeEnEn,CS2103-F11-2
student,domlimm,CS2103-F11-2
student,OhEyeSee,CS2103-F11-3
student,hanhuiice,CS2103-F11-3
student,kashing555,CS2103-F11-3
student,flairekq,CS2103-F11-3
student,isabelteo,CS2103-F11-3
student,yumengtan,CS2103-F11-4
student,ivorcmx,CS2103-F11-4
student,putaojuice,CS2103-F11-4
student,castryl,CS2103-F11-4
student,geraldneo567,CS2103-W16-1
student,yokester98,CS2103-W16-1
student,benmurphyy,CS2103-W16-1
student,sophiien,CS2103-W16-1
student,ryanwalterlee,CS2103-W16-1
student,zihaowrez,CS2103-W16-2
student,cheehongw,CS2103-W16-2
student,kavxya,CS2103-W16-2
student,reignnz,CS2103-W16-2
student,chriswengqi,CS2103-W16-2
student,kahleongq,CS2103-W16-3
student,LikHern,CS2103-W16-3
student,KristopherPTaslim,CS2103-W16-3
student,Rdac0,CS2103-W16-3
student,Punpun1643,CS2103-W16-3
student,waffledood,CS2103-W16-4
student,Ashuh,CS2103-W16-4
student,cindyangXQ,CS2103-W16-4
student,howardwhw2,CS2103-W16-4
student,hsiaojietng,CS2103-W16-4
student,KwanHW,CS2103-W17-1
student,dandaandaaaaaan,CS2103-W17-1
student,Wei-Xinn,CS2103-W17-1
student,sharpstorm,CS2103-W17-1
student,HanJiyao,CS2103-W17-1
student,jetrz,CS2103-W17-3
student,michaelseyo,CS2103-W17-3
student,jiewei98,CS2103-W17-3
student,leeyiheng12,CS2103-W17-3
student,MontyPython28,CS2103-W17-3
student,SethCKL,CS2103-W17-4
student,YiHern-Lee,CS2103-W17-4
student,goalfix,CS2103-W17-4
student,khoahre123,CS2103-W17-4
student,likeabowx,CS2103-W17-4
student,sbhbenjamin,CS2103T-T09-1
student,AinsleyJ,CS2103T-T09-1
student,thikhinab,CS2103T-T09-1
student,joeietao,CS2103T-T09-1
student,nicollegann,CS2103T-T09-1
student,ryantanlien,CS2103T-T09-2
student,zzhikai,CS2103T-T09-2
student,RyanCheungJF,CS2103T-T09-2
student,goel-a,CS2103T-T09-2
student,kaiyichen,CS2103T-T09-2
student,arcornior,CS2103T-T09-3
student,lowkaiwei98,CS2103T-T09-3
student,aweijun,CS2103T-T09-3
student,JonathanHoshi,CS2103T-T09-3
student,Ardentsoul,CS2103T-T09-3
student,mazx4960,CS2103T-T09-4
student,redpelican2108,CS2103T-T09-4
student,mechfrog88,CS2103T-T09-4
student,DavidTan0527,CS2103T-T09-4
student,1001mei,CS2103T-T09-4
student,sibinhho99-nus,CS2103T-T11-1
student,joey-chance,CS2103T-T11-1
student,cheekean5848,CS2103T-T11-1
student,clement0010,CS2103T-T11-1
student,juslam19,CS2103T-T11-1
student,janald99,CS2103T-T11-2
student,WJunHong,CS2103T-T11-2
student,chuashihong,CS2103T-T11-2
student,cwnm,CS2103T-T11-2
student,Jacky142857,CS2103T-T11-2
student,lchokhoe,CS2103T-T11-3
student,tanyutao544,CS2103T-T11-3
student,laughingkid-sg,CS2103T-T11-3
student,yongler,CS2103T-T11-3
student,joszx,CS2103T-T11-3
student,ian-from-dover,CS2103T-T11-4
student,zhongfu,CS2103T-T11-4
student,ovidharshini,CS2103T-T11-4
student,thewrik,CS2103T-T11-4
student,Spyobird,CS2103T-T11-4
student,Fenway17,CS2103T-T12-1
student,lzf834,CS2103T-T12-1
student,e0544333,CS2103T-T12-1
student,whoisjunhong,CS2103T-T12-1
student,louisdavinlie,CS2103T-T12-1
student,xSaints19x,CS2103T-T12-2
student,weijuey,CS2103T-T12-2
student,glennljw,CS2103T-T12-2
student,takufunkai,CS2103T-T12-2
student,tehkokhoe,CS2103T-T12-2
student,DannyDakota,CS2103T-T12-3
student,jiale-c,CS2103T-T12-3
student,tanchinkiat99,CS2103T-T12-3
